archetype_id;usage_type_tabula;usage_type_statistik;usage_simplified;building_period;building_status;energy_carrier_primary;Af_m2;Aroof_m2;GFA_m2;Aocc_m2;people0;E_final_heating_MWhyr;E_final_dhw_MWhyr;E_final_cooling_MWhyr;E_final_user_MWhyr;Q_use_heating_MWhyr;Q_use_dhw_MWhyr;Q_use_cooling_MWhyr;Q_use_user_MWhyr
MWB VIII_>2020_hp;Mehrfamilienhaus;Wohngebäude mit drei und mehr Wohnungen;residential;ab 2020;original;heatpump;703.1840000000001;248.8;1127.78;697.12;18.05;7.977592918665834;21.65264507849763;6.7708694990878;79.81371892332521;23.9327787559975;64.9579352354929;16.9271737477195;79.81371892332521
IWU Office, Administrative or Government Buildings 1860 - 1978_hp;Büro;Bürogebäude;non-residential;1860 - 1978;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;114.492126676586;7.7251472495421005;0.0;436.2012891377753;343.476380029758;23.1754417486263;0.0;436.2012891377753
IWU Office, Administrative or Government Buildings 1979 - 2009_hp;Büro;Bürogebäude;non-residential;1979 - 2009;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;67.207779059671;7.690525279931767;0.0;436.57888104579416;201.623337179013;23.0715758397953;0.0;436.57888104579416
IWU Office, Administrative or Government Buildings 2010 - 2030_hp;Büro;Bürogebäude;non-residential;2010 - 2030;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;7.876042731213601;7.688775710474033;92.3579813076816;440.9240794329121;23.6281281936408;23.0663271314221;230.894953269204;440.9240794329121
IWU Culture and Leisure (5) 1860 - 1978_hp;Kultur, Freizeit, Bildung und Gesundheit;Gebäude für Kultur- und Freizeitzwecke sowie des Bildungs- und Gesundheitswesens;non-residential;1860 - 1978;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;115.15421872541201;26.698018894454297;0.0;606.990513240224;345.462656176236;80.0940566833629;0.0;606.990513240224
IWU Culture and Leisure (5) 1979 - 2009_hp;Kultur, Freizeit, Bildung und Gesundheit;Gebäude für Kultur- und Freizeitzwecke sowie des Bildungs- und Gesundheitswesens;non-residential;1979 - 2009;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;50.71347272577567;26.656670825202536;0.0;607.981304776701;152.140418177327;79.9700124756076;0.0;607.981304776701
IWU Culture and Leisure (5) 2010 - 2030_hp;Kultur, Freizeit, Bildung und Gesundheit;Gebäude für Kultur- und Freizeitzwecke sowie des Bildungs- und Gesundheitswesens;non-residential;2010 - 2030;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;11.7769943861163;26.639364151718468;110.2680263629172;617.698755437598;35.3309831583489;79.9180924551554;275.670065907293;617.698755437598
IWU Hotels, Boarding, Restaurants or Catering (7) 1860 - 1978_hp;Hotels und ähnliche;Hotels und ähnliche Gebäude;non-residential;1860 - 1978;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;195.97171787636466;77.269689094249;0.0;177.69594279595538;587.915153629094;231.809067282747;0.0;177.69594279595538
IWU Hotels, Boarding, Restaurants or Catering (7) 1979 - 2009_hp;Hotels und ähnliche;Hotels und ähnliche Gebäude;non-residential;1979 - 2009;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;115.02462007198;77.22235177342067;0.0;177.87623389508238;345.07386021594;231.667055320262;0.0;177.87623389508238
IWU Hotels, Boarding, Restaurants or Catering (7) 2010 - 2030_hp;Hotels und ähnliche;Hotels und ähnliche Gebäude;non-residential;2010 - 2030;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;38.192480853603335;77.23227316482166;43.3515574665912;184.8257048992183;114.57744256081;231.696819494465;108.378893666478;184.8257048992183
IWU Production, Workshop, Warehouse or Operations (8) 1860 - 1978_hp;Industrie und Lager;Industrie- und Lagergebäude;non-residential;1860 - 1978;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;73.48662125789467;10.1189941912831;0.0;935.999474518162;220.459863773684;30.3569825738493;0.0;935.999474518162
IWU Production, Workshop, Warehouse or Operations (8) 1979 - 2009_hp;Industrie und Lager;Industrie- und Lagergebäude;non-residential;1979 - 2009;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;30.67061773161463;10.0750135812835;0.0;938.368880767046;92.0118531948439;30.2250407438505;0.0;938.368880767046
IWU Production, Workshop, Warehouse or Operations (8) 2010 - 2030_hp;Industrie und Lager;Industrie- und Lagergebäude;non-residential;2010 - 2030;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;1.8711449791268233;9.972362363930268;14.6243182276054;955.163317352798;5.61343493738047;29.9170870917908;36.5607955690135;955.163317352798
IWU Trade Buildings (9) 1860 - 1978_hp;Handel;Groß- und Einzelhandelsgebäude;non-residential;1860 - 1978;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;8.6478767478717;10.401538327225433;0.0;1145.7845110731778;25.9436302436151;31.2046149816763;0.0;1145.7845110731778
IWU Trade Buildings (9) 1979 - 2009_hp;Handel;Groß- und Einzelhandelsgebäude;non-residential;1979 - 2009;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;2.3047392524961636;10.348773312253334;0.0;1145.99667657493;6.91421775748849;31.04631993676;0.0;1145.99667657493
IWU Trade Buildings (9) 2010 - 2030_reno_hp;Handel;Groß- und Einzelhandelsgebäude;non-residential;2010 - 2030;original;heatpump;4083.92;899.0;6003.9;4084.0;1088.7;11.322576934310867;55.54939181465466;78.10543749909719;374.3909711298648;33.9677308029326;166.648175443964;195.263593747743;374.3909711298648
EFH I_Bis 1919_reno_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;bis 1919;renovation;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;5.020250178736567;2.25367322062247;0.0;9.00244716287099;15.0607505362097;6.76101966186741;0.0;9.00244716287099
EFH II_1920-44_reno_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1920-44;renovation;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;1.9826296628817133;2.2409609002513764;0.3993333693685316;9.004114589722763;5.94788898864514;6.72288270075413;0.998333423421329;9.004114589722763
EFH III_1945-59_reno_hp;Einfamilienhaus;Wohngebäude mit einer Wohnung;residential;1945-59;renovation;heatpump;210.08000000000004;103.9;366.5;208.0;2.97;2.6179274215434636;2.2458014169226965;0.33950232495861277;9.004030434244475;7.85378226463039;6.73740425076809;0.848755812396532;9.004030434244475
